label,variant_a,variant_b,auc_a,auc_b,delta,p_value,p_value_adj,p_value_delong,ci_low,ci_high,n_pos,n_neg
label_0,classifier_true_12,baseline_12,0.48840591633856456,0.48997236256247656,-0.0015664462239119992,1.0,0.0,nan,-0.011736235330519556,0.007892759908757228,869,1063
label_0,classifier_true_12,hybrid_12,0.48840591633856456,0.49009144278682365,-0.0016855264482590893,1.0,0.0,nan,-0.011271016421481714,0.007592994000202135,869,1063
label_0,classifier_true_12,physics_12,0.48840591633856456,0.48997236256247656,-0.0015664462239119992,1.0,0.0,nan,-0.011736235330519556,0.007892759908757228,869,1063
label_0,baseline_12,hybrid_12,0.48997236256247656,0.49009144278682365,-0.00011908022434709009,1.0,0.0,nan,-0.0013537490866409139,0.000811243881426442,869,1063
label_0,baseline_12,physics_12,0.48997236256247656,0.48997236256247656,0.0,0.0,0.0,nan,0.0,0.0,869,1063
label_0,hybrid_12,physics_12,0.49009144278682365,0.48997236256247656,0.00011908022434709009,1.0,0.0,nan,-0.0008112438814264419,0.001353749086640914,869,1063
label_1,classifier_true_12,baseline_12,0.49291733154167017,0.4977286088397199,-0.004811277298049754,1.0,0.0,nan,-0.010486263333811882,0.010283382389377095,231,1701
label_1,classifier_true_12,hybrid_12,0.49291733154167017,0.49823251410553,-0.005315182563859822,1.0,0.0,nan,-0.010441474342208639,0.00874389560050278,231,1701
label_1,classifier_true_12,physics_12,0.49291733154167017,0.4977286088397199,-0.004811277298049754,1.0,0.0,nan,-0.010486263333811882,0.010283382389377095,231,1701
label_1,baseline_12,hybrid_12,0.4977286088397199,0.49823251410553,-0.0005039052658100673,0.8,0.0,nan,-0.0019255470312513207,0.0014281564767141908,231,1701
label_1,baseline_12,physics_12,0.4977286088397199,0.4977286088397199,0.0,0.0,0.0,nan,0.0,0.0,231,1701
label_1,hybrid_12,physics_12,0.49823251410553,0.4977286088397199,0.0005039052658100673,0.8,0.0,nan,-0.0014281564767141901,0.0019255470312513207,231,1701
label_2,classifier_true_12,baseline_12,0.5077561111192381,0.5097719393203528,-0.0020158282011146778,0.6,0.0,nan,-0.009794379076996337,0.005852833960070721,197,1735
label_2,classifier_true_12,hybrid_12,0.5077561111192381,0.5105457949940754,-0.0027896838748372454,0.6,0.0,nan,-0.010287873507183945,0.004236198205974582,197,1735
label_2,classifier_true_12,physics_12,0.5077561111192381,0.5097719393203528,-0.0020158282011146778,0.6,0.0,nan,-0.009794379076996337,0.005852833960070721,197,1735
label_2,baseline_12,hybrid_12,0.5097719393203528,0.5105457949940754,-0.0007738556737225677,0.2,0.0,nan,-0.002258770089992272,0.0013749071343166837,197,1735
label_2,baseline_12,physics_12,0.5097719393203528,0.5097719393203528,0.0,0.0,0.0,nan,0.0,0.0,197,1735
label_2,hybrid_12,physics_12,0.5105457949940754,0.5097719393203528,0.0007738556737225677,0.2,0.0,nan,-0.001374907134316683,0.0022587700899922725,197,1735
label_3,classifier_true_12,baseline_12,0.4425095383295282,0.44628196681121,-0.0037724284816818,0.2,0.0,nan,-0.011031532477344643,0.0012295191215010116,187,1745
label_3,classifier_true_12,hybrid_12,0.4425095383295282,0.4457655945941804,-0.0032560562646521962,0.0,0.0,nan,-0.011219976832304059,-0.00040182485446060536,187,1745
label_3,classifier_true_12,physics_12,0.4425095383295282,0.44628196681121,-0.0037724284816818,0.2,0.0,nan,-0.011031532477344643,0.0012295191215010116,187,1745
label_3,baseline_12,hybrid_12,0.44628196681121,0.4457655945941804,0.0005163722170296037,0.8,0.0,nan,-0.0037176752654524943,0.003212725447331558,187,1745
label_3,baseline_12,physics_12,0.44628196681121,0.44628196681121,0.0,0.0,0.0,nan,0.0,0.0,187,1745
label_3,hybrid_12,physics_12,0.4457655945941804,0.44628196681121,-0.0005163722170296037,0.8,0.0,nan,-0.0032127254473315577,0.0037176752654524948,187,1745
label_4,classifier_true_12,baseline_12,0.5266739903745553,0.523062704889447,0.003611285485108362,0.8,0.0,nan,-0.01796627363837408,0.01810207599635929,162,1770
label_4,classifier_true_12,hybrid_12,0.5266739903745553,0.521978098625933,0.004695891748622283,0.8,0.0,nan,-0.01616759951213651,0.019530141401904542,162,1770
label_4,classifier_true_12,physics_12,0.5266739903745553,0.523062704889447,0.003611285485108362,0.8,0.0,nan,-0.01796627363837408,0.01810207599635929,162,1770
label_4,baseline_12,hybrid_12,0.523062704889447,0.521978098625933,0.0010846062635139209,0.4,0.0,nan,-0.002944112968825159,0.004174771982808793,162,1770
label_4,baseline_12,physics_12,0.523062704889447,0.523062704889447,0.0,0.0,0.0,nan,0.0,0.0,162,1770
label_4,hybrid_12,physics_12,0.521978098625933,0.523062704889447,-0.0010846062635139209,0.4,0.0,nan,-0.004174771982808793,0.0029441129688251603,162,1770
label_5,classifier_true_12,baseline_12,0.5412443937367221,0.5280116452907389,0.013232748445983211,0.0,0.0,nan,0.003052255009770502,0.019487601101903944,142,1790
label_5,classifier_true_12,hybrid_12,0.5412443937367221,0.5294004248957431,0.011843968840978936,0.0,0.0,nan,0.0010221699439718762,0.01869824671993959,142,1790
label_5,classifier_true_12,physics_12,0.5412443937367221,0.5280116452907389,0.013232748445983211,0.0,0.0,nan,0.003052255009770502,0.019487601101903944,142,1790
label_5,baseline_12,hybrid_12,0.5280116452907389,0.5294004248957431,-0.0013887796050042756,0.0,0.0,nan,-0.0035535322047472256,-0.0005061916823783457,142,1790
label_5,baseline_12,physics_12,0.5280116452907389,0.5280116452907389,0.0,0.0,0.0,nan,0.0,0.0,142,1790
