label,variant_a,variant_b,auc_a,auc_b,delta,p_value,p_value_adj,p_value_delong,ci_low,ci_high,n_pos,n_neg
label_0,classifier_true_12_2hr,baseline_12_2hr,0.4807820756116123,0.503951298353337,-0.02316922274172467,0.2,0.0,nan,-0.0494437038364515,0.0018708138421012718,869,1063
label_0,classifier_true_12_2hr,hybrid_12_2hr,0.4807820756116123,0.5018203036112702,-0.021038227999657877,0.4,0.0,nan,-0.04429605024903175,0.007285085028244774,869,1063
label_0,classifier_true_12_2hr,physics_12_2hr,0.4807820756116123,0.503951298353337,-0.02316922274172467,0.2,0.0,nan,-0.0494437038364515,0.0018708138421012718,869,1063
label_0,baseline_12_2hr,hybrid_12_2hr,0.503951298353337,0.5018203036112702,0.002130994742066794,0.2,0.0,nan,-0.004947929283671661,0.0063687384535076694,869,1063
label_0,baseline_12_2hr,physics_12_2hr,0.503951298353337,0.503951298353337,0.0,0.0,0.0,nan,0.0,0.0,869,1063
label_0,hybrid_12_2hr,physics_12_2hr,0.5018203036112702,0.503951298353337,-0.002130994742066794,0.2,0.0,nan,-0.0063687384535076694,0.004947929283671664,869,1063
label_1,classifier_true_12_2hr,baseline_12_2hr,0.4512242607480703,0.4956010088285221,-0.04437674808045178,0.0,0.0,nan,-0.09411952263073045,-0.01665191439169289,231,1701
label_1,classifier_true_12_2hr,hybrid_12_2hr,0.4512242607480703,0.5085574821024557,-0.057333221354385344,0.0,0.0,nan,-0.10916938860739829,-0.03414865040846254,231,1701
label_1,classifier_true_12_2hr,physics_12_2hr,0.4512242607480703,0.4956010088285221,-0.04437674808045178,0.0,0.0,nan,-0.09411952263073045,-0.01665191439169289,231,1701
label_1,baseline_12_2hr,hybrid_12_2hr,0.4956010088285221,0.5085574821024557,-0.012956473273933566,0.0,0.0,nan,-0.031018614631510143,-0.006955604178766915,231,1701
label_1,baseline_12_2hr,physics_12_2hr,0.4956010088285221,0.4956010088285221,0.0,0.0,0.0,nan,0.0,0.0,231,1701
label_1,hybrid_12_2hr,physics_12_2hr,0.5085574821024557,0.4956010088285221,0.012956473273933566,0.0,0.0,nan,0.006955604178766917,0.031018614631510143,231,1701
label_2,classifier_true_12_2hr,baseline_12_2hr,0.4769818165859652,0.483642241694583,-0.006660425108617751,0.2,0.0,nan,-0.042513245168702155,0.0008053976956439388,197,1735
label_2,classifier_true_12_2hr,hybrid_12_2hr,0.4769818165859652,0.4924647815210872,-0.015482964935121968,0.2,0.0,nan,-0.04472827100935425,0.005107368938688665,197,1735
label_2,classifier_true_12_2hr,physics_12_2hr,0.4769818165859652,0.483642241694583,-0.006660425108617751,0.2,0.0,nan,-0.042513245168702155,0.0008053976956439388,197,1735
label_2,baseline_12_2hr,hybrid_12_2hr,0.483642241694583,0.4924647815210872,-0.008822539826504217,0.8,0.0,nan,-0.02204700775881986,0.010288446133963772,197,1735
label_2,baseline_12_2hr,physics_12_2hr,0.483642241694583,0.483642241694583,0.0,0.0,0.0,nan,0.0,0.0,197,1735
label_2,hybrid_12_2hr,physics_12_2hr,0.4924647815210872,0.483642241694583,0.008822539826504217,0.8,0.0,nan,-0.010288446133963772,0.022047007758819865,197,1735
label_3,classifier_true_12_2hr,baseline_12_2hr,0.4754087308275746,0.489007554050534,-0.013598823222959355,0.8,0.0,nan,-0.03934730299313643,0.024395630613877863,187,1745
label_3,classifier_true_12_2hr,hybrid_12_2hr,0.4754087308275746,0.4787689808926957,-0.0033602500651210843,1.0,0.0,nan,-0.031815697065256957,0.03217449985623395,187,1745
label_3,classifier_true_12_2hr,physics_12_2hr,0.4754087308275746,0.489007554050534,-0.013598823222959355,0.8,0.0,nan,-0.03934730299313643,0.024395630613877863,187,1745
label_3,baseline_12_2hr,hybrid_12_2hr,0.489007554050534,0.4787689808926957,0.010238573157838271,0.2,0.0,nan,0.00027394944748470175,0.021921998890646163,187,1745
label_3,baseline_12_2hr,physics_12_2hr,0.489007554050534,0.489007554050534,0.0,0.0,0.0,nan,0.0,0.0,187,1745
label_3,hybrid_12_2hr,physics_12_2hr,0.4787689808926957,0.489007554050534,-0.010238573157838271,0.2,0.0,nan,-0.02192199889064616,-0.0002739494474846998,187,1745
label_4,classifier_true_12_2hr,baseline_12_2hr,0.5315983120597056,0.5390998814256818,-0.007501569365976124,0.6,0.0,nan,-0.04045973105048476,0.010118738091856963,162,1770
label_4,classifier_true_12_2hr,hybrid_12_2hr,0.5315983120597056,0.5448524795982423,-0.013254167538536699,0.4,0.0,nan,-0.03855526467520298,0.005980623477036149,162,1770
